	idx	accession	name	source_database	pfam_x	total	cumsum	result_num	selected_pfam	name_pfam	pfam_y	pdb	chain	results
17	144	CL0174	TetR_C	pfam	57	57	5296	55	PF22568	Tetracyclin repressor-like, C-terminal domain	PF22568	3mvp	A	305
18	29	CL0041	Death	pfam	19	19	1832	18	PF22080	Dark, CARD domain	PF22080	3j9k	A	69
19	25	CL0036	TIM_barrel	pfam	193	193	1742	90	PF03102	NeuB family	PF03102	1vli	A	18
20	639	CL0751	Secretin_N0	pfam	6	6	9576	0	PF07660	Secretin and TonB N terminus short domain	PF07660	1kmo	A	90
21	49	CL0063	NADP_Rossmann	pfam	278	278	2583	226	PF14314	Virus-capping methyltransferase, MT domain	PF14314	4uci	A	19
22	8	CL0014	Glutaminase_I	pfam	20	20	365	1	PF01174	SNO glutamine amidotransferase family	PF01174	1q7r	A	66
23	15	CL0023	P-loop_NTPase	pfam	265	265	1276	143	PF08423	Rad51	PF08423	1n0w	A	449
24	5	CL0010	SH3	pfam	172	172	322	37	PF06003	Survival motor neuron protein (SMN), Tudor domain	PF06003	1g5v	A	49
25	163	CL0196	DSRM	pfam	15	15	5902	1	PF00333	Ribosomal protein S5, N-terminal domain	PF00333	1dv4	E	500
26	86	CL0105	Hybrid	pfam	93	93	3204	24	PF02127	Aminopeptidase I zinc metalloprotease (M18)	PF02127	1y7e	A	109
27	25	CL0036	TIM_barrel	pfam	193	193	1742	190	PF22644	BsNagA composite domain	PF22644	2vhl	A	34
28	147	CL0177	PBP	pfam	31	31	5344	29	PF22141	Thiaminase-1 domain	PF22141	2thi	A	28
29	154	CL0186	Beta_propeller	pfam	175	175	5663	137	PF16819	Domain of unknown function (DUF5074)	PF16819	3dsm	A	24
30	191	CL0229	RING	pfam	81	81	6500	5	PF01428	AN1-like Zinc finger	PF01428	7qxw	v	20
31	131	CL0159	E-set	pfam	431	431	4948	53	PF04234	CopC domain	PF04234	1ix2	A	26
32	281	CL0329	S5	pfam	20	20	7649	15	PF10509	Galactokinase galactose-binding signature	PF10509	1pie	A	121
33	88	CL0108	Actin_ATPase	pfam	40	40	3261	13	PF02782	FGGY family of carbohydrate kinases, C-terminal domain	PF02782	1bo5	O	189
34	156	CL0188	CH	pfam	11	11	5681	6	PF11971	CAMSAP CH domain	PF11971	3ky9	A	123
35	19	CL0028	AB_hydrolase	pfam	81	81	1399	10	PF01764	Lipase (class 3)	PF01764	1dt3	A	127
36	293	CL0343	MHC	pfam	8	8	7728	5	PF16497	MHC-I family domain	PF16497	1cd1	A	500
37	12	CL0020	TPR	pfam	401	401	840	6	PF00806	Pumilio-family RNA binding repeat	PF00806	1ib2	A	123
38	90	CL0110	GT-A	pfam	58	58	3354	20	PF03360	Glycosyltransferase family 43	PF03360	1fgg	A	16
39	218	CL0260	NTP_transf	pfam	42	42	6881	34	PF20750	Poly(A) polymerase nucleotidyltransferase domain	PF20750	1f5a	A	18
40	49	CL0063	NADP_Rossmann	pfam	278	278	2583	236	PF17174	Domain of unknown function (DUF5130)	PF17174	6adq	J	18
41	169	CL0202	GBD	pfam	108	108	6077	7	PF02018	Carbohydrate binding domain	PF02018	2w5f	A	377
42	12	CL0020	TPR	pfam	401	401	840	281	PF18777	Chromosome region maintenance or exportin repeat	PF18777	3gb8	A	109
43	15	CL0023	P-loop_NTPase	pfam	265	265	1276	86	PF03976	Polyphosphate kinase 2 (PPK2)	PF03976	3czp	A	154
44	165	CL0198	HHH	pfam	38	38	5947	26	PF21176	RecR, helix-hairpin-helix	PF21176	1vdd	A	41
45	15	CL0023	P-loop_NTPase	pfam	265	265	1276	80	PF03567	Sulfotransferase family	PF03567	3f5f	A	500
46	188	CL0226	M6PR	pfam	5	5	6409	1	PF02157	Mannose-6-phosphate receptor	PF02157	1c39	A	26
47	181	CL0219	RNase_H	pfam	91	91	6293	12	PF02075	Crossover junction endodeoxyribonuclease RuvC	PF02075	1hjr	A	17
48	600	CL0708	Polo-box	pfam	9	9	9445	0	PF00659	POLO box duplicated region	PF00659	1q4k	A	90
49	277	CL0324	Homing_endonuc	pfam	7	7	7589	0	PF00961	LAGLIDADG endonuclease	PF00961	1af5	A	120
50	15	CL0023	P-loop_NTPase	pfam	265	265	1276	45	PF01712	Deoxynucleoside kinase	PF01712	1j90	A	209
51	100	CL0123	HTH	pfam	507	507	4041	59	PF02742	Iron dependent repressor, metal binding and dimerisation domain	PF02742	1b1b	A	140
52	12	CL0020	TPR	pfam	401	401	840	27	PF03097	BRO1-like domain	PF03097	1zb1	A	52
53	629	CL0740	GCV_T_C	pfam	9	9	9535	2	PF09173	Initiation factor eIF2 gamma, C terminal	PF09173	1kjz	A	500
54	246	CL0289	FBD	pfam	3	3	7305	0	PF01571	Aminomethyltransferase folate-binding domain	PF01571	1pj5	A	91
55	12	CL0020	TPR	pfam	401	401	840	62	PF05282	AAR2 C-terminal repeat region	PF05282	3sbs	A	404
56	131	CL0159	E-set	pfam	431	431	4948	259	PF17812	RET Cadherin like domain 3	PF17812	4ux8	A	21
57	58	CL0072	Ubiquitin	pfam	99	99	2788	13	PF02597	ThiS family	PF02597	1vjk	A	17
58	301	CL0351	CHCH	pfam	8	8	7801	3	PF06747	CHCH domain	PF06747	2zxt	A	502
59	86	CL0105	Hybrid	pfam	93	93	3204	90	PF22042	Elongation factor G domain 2	PF22042	1wdt	A	480
60	426	CL0504	Phage_barrel	pfam	40	40	8614	26	PF16838	Caudoviral major tail protein N-terminus	PF16838	4eo2	A	26
61	181	CL0219	RNase_H	pfam	91	91	6293	25	PF04493	Endonuclease V	PF04493	2w35	A	47
62	124	CL0149	CoA-acyltrans	pfam	10	10	4461	1	PF00302	Chloramphenicol acetyltransferase	PF00302	1cia	A	64
63	49	CL0063	NADP_Rossmann	pfam	278	278	2583	150	PF06100	MCRA family	PF06100	4ia5	A	29
64	142	CL0172	Thioredoxin	pfam	71	71	5233	27	PF07449	Hydrogenase-1 expression protein HyaE	PF07449	2es7	A	17
65	202	CL0240	PFK	pfam	4	4	6711	0	PF00365	Phosphofructokinase	PF00365	1kzh	A	95
66	12	CL0020	TPR	pfam	401	401	840	11	PF01417	ENTH domain	PF01417	1edu	A	39
67	15	CL0023	P-loop_NTPase	pfam	265	265	1276	78	PF03308	Methylmalonyl Co-A mutase-associated GTPase MeaB	PF03308	2p67	A	48
68	79	CL0097	TypeIII_Chap	pfam	12	12	3012	2	PF05932	Tir chaperone protein (CesT) family	PF05932	1jya	A	23
69	19	CL0028	AB_hydrolase	pfam	81	81	1399	0	PF00135	Carboxylesterase family	PF00135	1acj	A	500
70	181	CL0219	RNase_H	pfam	91	91	6293	16	PF02870	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	PF02870	1eh6	A	80
71	131	CL0159	E-set	pfam	431	431	4948	269	PF17967	Pullulanase N2 domain	PF17967	2fgz	A	131
72	58	CL0072	Ubiquitin	pfam	99	99	2788	5	PF00789	UBX domain	PF00789	1h8c	A	22
73	191	CL0229	RING	pfam	81	81	6500	45	PF14835	zf-RING of BARD1-type protein	PF14835	1jm7	B	25
74	276	CL0323	Patatin	pfam	6	6	7582	5	PF22690	Fatty acid synthase central AT domain	PF22690	4v8l	A	830
75	63	CL0079	Cystine-knot	pfam	14	14	2836	6	PF03045	DAN domain	PF03045	4jph	A	16
76	15	CL0023	P-loop_NTPase	pfam	265	265	1276	21	PF00488	MutS domain V	PF00488	1e3m	A	121
77	38	CL0051	NTF2	pfam	58	58	2013	6	PF05223	NTF2-like N-terminal transpeptidase domain	PF05223	1mwr	A	274
78	131	CL0159	E-set	pfam	431	431	4948	251	PF17756	RET Cadherin like domain 1	PF17756	2x2u	A	21
79	45	CL0059	6_Hairpin	pfam	48	48	2250	15	PF05426	Alginate lyase	PF05426	1hv6	A	36
80	144	CL0174	TetR_C	pfam	57	57	5296	13	PF16295	Tetracyclin repressor-like, C-terminal domain	PF16295	4me9	A	307
81	49	CL0063	NADP_Rossmann	pfam	278	278	2583	212	PF13450	NAD(P)-binding Rossmann-like domain	PF13450	1djn	A	356
82	49	CL0063	NADP_Rossmann	pfam	278	278	2583	24	PF01008	Initiation factor 2 subunit family	PF01008	1t5o	A	266
83	15	CL0023	P-loop_NTPase	pfam	265	265	1276	1	PF00005	ABC transporter	PF00005	1b0u	A	532
84	96	CL0116	Calycin	pfam	51	51	3512	27	PF12702	Lipocalin-like	PF12702	3hty	A	16
85	25	CL0036	TIM_barrel	pfam	193	193	1742	84	PF02784	Pyridoxal-dependent decarboxylase, pyridoxal binding domain	PF02784	1d7k	A	125
86	166	CL0199	DPBB	pfam	12	12	5959	6	PF06725	3D domain	PF06725	2ae0	X	16
87	570	CL0677	GHMP_C	pfam	4	4	9312	2	PF18376	Mevalonate 5-diphosphate decarboxylase C-terminal domain	PF18376	1fi4	A	86
88	175	CL0209	Bet_v_1_like	pfam	29	29	6157	0	PF00407	Pathogenesis-related protein Bet v 1 family	PF00407	1b6f	A	271
89	42	CL0055	Nucleoplasmin	pfam	59	59	2134	1	PF00500	L1 (late) protein	PF00500	1dzl	A	304
90	154	CL0186	Beta_propeller	pfam	175	175	5663	89	PF13415	Galactose oxidase, central domain	PF13415	5gqt	A	682
91	154	CL0186	Beta_propeller	pfam	175	175	5663	76	PF12217	Catalytic beta propeller domain of bacteriophage endosialidase	PF12217	1v0e	A	27
92	366	CL0423	AhpD-like	pfam	2	2	8259	1	PF04636	PA26 p53-induced protein (sestrin)	PF04636	5cuf	A	46
93	14	CL0022	LRR	pfam	20	20	1011	14	PF18791	Transport inhibitor response 1 protein domain	PF18791	2p1m	B	62
94	23	CL0032	Dim_A_B_barrel	pfam	36	36	1542	22	PF13816	Haem-containing dehydratase	PF13816	3a15	A	26
95	142	CL0172	Thioredoxin	pfam	71	71	5233	43	PF13409	Glutathione S-transferase, N-terminal domain	PF13409	1a0f	A	240
96	49	CL0063	NADP_Rossmann	pfam	278	278	2583	110	PF03949	Malic enzyme, NAD binding domain	PF03949	1do8	A	162
97	318	CL0369	GHD	pfam	61	61	8033	46	PF21331	Isoamylase, C-terminal	PF21331	1bf2	A	280
98	131	CL0159	E-set	pfam	431	431	4948	100	PF08441	Integrin alpha Ig-like domain 1	PF08441	1jv2	A	182
99	76	CL0094	Peptidase_ME	pfam	12	12	2995	6	PF16187	Middle or third domain of peptidase_M16	PF16187	1q2l	A	356
100	56	CL0070	ACT	pfam	26	26	2687	0	PF00585	C-terminal regulatory domain of Threonine dehydratase	PF00585	1tdj	A	280
101	15	CL0023	P-loop_NTPase	pfam	265	265	1276	162	PF10609	NUBPL iron-transfer P-loop NTPase	PF10609	2ph1	A	35
102	100	CL0123	HTH	pfam	507	507	4041	468	PF22094	CED4, winged-helix domain	PF22094	2a5y	B	42
103	28	CL0040	tRNA_synt_II	pfam	12	12	1813	5	PF03099	Biotin/lipoate A/B protein ligase family	PF03099	1bia	A	123
104	318	CL0369	GHD	pfam	61	61	8033	18	PF11941	Domain of unknown function (DUF3459)	PF11941	1wza	A	514
105	42	CL0055	Nucleoplasmin	pfam	59	59	2134	14	PF01829	Peptidase A6 family	PF01829	1f8v	A	30
106	638	CL0750	ADAM_CR_sf	pfam	5	5	9570	3	PF19236	ADAMTS cysteine-rich domain	PF19236	3ghm	A	87
107	71	CL0089	GlnB-like	pfam	12	12	2958	3	PF06153	Cyclic-di-AMP receptor	PF06153	3m05	A	16
108	392	CL0459	BRCT-like	pfam	12	12	8386	3	PF16589	BRCT domain, a BRCA1 C-terminus domain	PF16589	1z56	C	22
