Entry	Reviewed	Entry Name	Length	Pfam	PDB
Q14191	reviewed	WRN_HUMAN	1432	PF00270;PF01612;PF00271;PF00570;PF14493;PF16124;PF09382;	2AXL;2DGZ;2E1E;2E1F;2FBT;2FBV;2FBX;2FBY;2FC0;3AAF;6TYV;6YHR;7GQS;7GQT;7GQU;7XUT;8PFL;8PFO;8PFP;8YLE;
Q14240	reviewed	IF4A2_HUMAN	407	PF00270;PF00271;	3BOR;
Q14527	reviewed	HLTF_HUMAN	1009	PF00271;PF08797;PF00176;PF13923;	2MZN;4HRE;4HRH;4S0N;4XZF;4XZG;5BNH;5K5F;6KCS;
Q14562	reviewed	DHX8_HUMAN	1220	PF00270;PF21010;PF04408;PF00271;PF07717;PF00575;	2EQS;3I4U;5MQF;5XJC;6HYS;6HYT;6HYU;6ICZ;6QDV;7W59;7W5A;7W5B;8C6J;
Q14839	reviewed	CHD4_HUMAN	1912	PF08074;PF06461;PF08073;PF00385;PF06465;PF00271;PF00628;PF00176;	1MM2;1MM3;2EE1;2L5U;2L75;2N5N;4O9I;6BGG;6Q3M;6RYR;6RYU;8D4Y;
Q149N8	reviewed	SHPRH_HUMAN	1683	PF00271;PF00538;PF21325;PF21324;PF00176;PF13445;	2M85;4QN1;
Q15477	reviewed	SKI2_HUMAN	1246	PF00270;PF08148;PF00271;PF21408;PF13234;PF17911;	7QDR;7QDS;7QDY;7QDZ;7QE0;
Q2NKX8	reviewed	ERC6L_HUMAN	1250	PF00271;PF00176;	5JNO;
Q5FWF4	reviewed	ZRAB3_HUMAN	1079	PF00271;PF01844;PF00176;PF00641;	5MKW;5MLO;5MLW;5YD8;
Q5T1V6	reviewed	DDX59_HUMAN	619	PF00270;PF00271;PF04438;	2YQP;
Q5T890	reviewed	ER6L2_HUMAN	1550	PF00271;PF00176;PF14773;	6HQ9;8COB;
Q6ZRS2	reviewed	SRCAP_HUMAN	3230	PF00271;PF07529;PF00176;	6IGM;8X15;8X19;8X1C;
Q7L014	reviewed	DDX46_HUMAN	1031	PF00270;PF00271;	6Y50;6Y53;6Y5Q;7EVO;7Q3L;7VPX;
Q7L2E3	reviewed	DHX30_HUMAN	1194	PF00270;PF21010;PF00271;PF07717;	2DB2;
Q86TM3	reviewed	DDX53_HUMAN	631	PF00270;PF00271;PF00013;	3IUY;8KCA;
Q86WJ1	reviewed	CHD1L_HUMAN	897	PF00271;PF00176;	6ZHX;6ZHY;7ENN;7EPU;7OTQ;8B0A;
Q86XP3	reviewed	DDX42_HUMAN	938	PF00270;PF00271;	7EVN;8DPE;8HK1;
Q8IY37	reviewed	DHX37_HUMAN	1157	PF00270;PF21010;PF04408;PF00271;PF07717;	7MQA;
Q8IYD8	reviewed	FANCM_HUMAN	2048	PF00270;PF02732;PF16783;PF00271;	4BXO;4DAY;4DRB;4E45;4M6W;
Q8N3C0	reviewed	ASCC3_HUMAN	2202	PF00270;PF00271;PF02889;	6YXQ;8ALZ;
Q8TD26	reviewed	CHD6_HUMAN	2715	PF00385;PF00271;PF00176;	2EPB;
Q8TDD1	reviewed	DDX54_HUMAN	881	PF08147;PF00270;PF00271;	8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;
Q8TDI0	reviewed	CHD5_HUMAN	1954	PF08074;PF06461;PF08073;PF00385;PF06465;PF00271;PF00628;PF00176;	6GUU;
Q92499	reviewed	DDX1_HUMAN	740	PF00270;PF00271;PF00622;	4XW3;8TBX;
Q92620	reviewed	PRP16_HUMAN	1227	PF00270;PF21010;PF04408;PF00271;PF07717;	5YZG;6ZYM;7A5P;
Q92841	reviewed	DDX17_HUMAN	729	PF00270;PF00271;	6UV0;6UV1;6UV2;6UV3;6UV4;
Q96C10	reviewed	DHX58_HUMAN	678	PF00271;PF04851;PF18119;PF11648;	2RQA;2W4R;3EQT;
Q9BQ39	reviewed	DDX50_HUMAN	737	PF00270;PF08152;PF00271;	2E29;
Q9BUQ8	reviewed	DDX23_HUMAN	820	PF00270;PF00271;	3JCR;4NHO;6AH0;6QW6;6QX9;8H6E;8H6J;8Q7W;8Q7X;8Q91;8QOZ;8QP8;8QP9;8QPA;8QPB;8QPK;8QXD;8R08;8R09;8R0A;8R0B;8RC0;8RM5;8Y6O;
Q9BYX4	reviewed	IFIH1_HUMAN	1025	PF16739;PF00271;PF04851;PF18119;PF11648;	2RQB;3B6E;3GA3;4GL2;7DNI;7DNJ;7JL0;7JL2;
Q9H0S4	reviewed	DDX47_HUMAN	455	PF00270;PF00271;	3BER;
Q9H2U1	reviewed	DHX36_HUMAN	1008	PF00270;PF21010;PF04408;PF00271;PF07717;	2N16;2N21;6Q6R;
Q9H4L7	reviewed	SMRCD_HUMAN	1026	PF00271;PF00176;	6H3A;6QU1;7Z36;
Q9H6S0	reviewed	YTDC2_HUMAN	1430	PF00270;PF21010;PF04408;PF00271;PF07717;PF01424;PF04146;	2YU6;6K6U;6LR2;
Q9HCK8	reviewed	CHD8_HUMAN	2581	PF07533;PF00385;PF00271;PF00176;	2CKA;2DL6;
Q9NR30	reviewed	DDX21_HUMAN	783	PF00270;PF08152;PF00271;	2M3D;6L5L;6L5M;6L5N;6L5O;
Q9NUL7	reviewed	DDX28_HUMAN	540	PF00270;PF00271;	7OI6;
Q9NVP1	reviewed	DDX18_HUMAN	670	PF00270;PF13959;PF00271;	3LY5;8FKP;8FKQ;8FKR;8FKS;8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;
Q9NZC9	reviewed	SMAL1_HUMAN	954	PF07443;PF00271;PF00176;	4MQV;
Q9P2D1	reviewed	CHD7_HUMAN	2997	PF07533;PF00385;PF00271;PF00176;	2CKC;2V0E;2V0F;
Q9UHI6	reviewed	DDX20_HUMAN	824	PF00270;PF00271;	2OXC;3B7G;
Q9UHL0	reviewed	DDX25_HUMAN	483	PF00270;PF00271;	2RB4;
Q9UJV9	reviewed	DDX41_HUMAN	622	PF00270;PF00271;	2P6N;5GVR;5GVS;5H1Y;8C6J;
Q9ULG1	reviewed	INO80_HUMAN	1556	PF13892;PF00271;PF00176;	6HTS;7ZI4;
Q9UMR2	reviewed	DD19B_HUMAN	479	PF00270;PF00271;	3EWS;3FHC;3FHT;3FMO;3FMP;3G0H;6B4I;6B4J;6B4K;
Q9UPY3	reviewed	DICER_HUMAN	1922	PF00270;PF03368;PF20932;PF20930;PF20931;PF00271;PF02170;PF00636;	2EB1;4NGB;4NGC;4NGD;4NGF;4NGG;4NH3;4NH5;4NH6;4NHA;4WYQ;5ZAK;5ZAL;5ZAM;7XW2;7XW3;
Q9Y2R4	reviewed	DDX52_HUMAN	599	PF00270;PF00271;	3DKP;
Q59FF6	unreviewed	Q59FF6_HUMAN	870	PF00271;PF00176;	6A6I;
